COR4,COR7,COR8,PartyID7,GENDER,AGE7,RACETHNICITY,EDUC5,EMPLOY,INCOME9,STATE,METRO,TOTDEATH,CCVI,protection,VAX3
Somewhat severe,"10,001 to 25,000","No, they do not contain live coronavirus",Not So Strong Republican,Female,55-64,"White, non-Hispanic",HS graduate,Working - as a paid employee,"$40,000 to under",NC,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Somewhat severe,"25,001 to 50,000","No, they do not contain live coronavirus",Strong Republican,Female,65-74,"White, non-Hispanic",HS graduate,Not working - disabled,"$20,000 to under",NH,Non-Metro Area,"1 to 10,000",very low,1-2 weeks after 2nd dose,No
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Strong Democrat,Male,55-64,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$100,000 to unde",NC,Metro Area,"10,001 to 20,000",very high,1-2 weeks after 2nd dose,Yes
Not very severe,"25,001 to 50,000","No, they do not contain live coronavirus",Strong Democrat,Male,35-44,"White, non-Hispanic",Post grad study/professional degree,Working - as a paid employee,"$100,000 to unde",IN,Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,Yes
Not at all severe,"More than 50,000",Don't know/Unsure,Lean Republican,Male,65-74,"White, non-Hispanic",Vocational/tech school/some college/associates,Not working - retired,"$30,000 to under",MI,Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,Yes
Not very severe,"More than 50,000","No, they do not contain live coronavirus",Don't Lean/Independent/None,Male,55-64,"Asian, non-Hispanic",Post grad study/professional degree,Working - self-employed,"$100,000 to unde",IL,Metro Area,"20,001 to 30,000",high,1-2 weeks after 2nd dose,No
Not at all severe,"10,001 to 25,000",Don't know/Unsure,Lean Democrat,Male,35-44,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$50,000 to under",WI,Non-Metro Area,"1 to 10,000",moderate,Immediately after 1st dose,No
Somewhat severe,"10,001 to 25,000","No, they do not contain live coronavirus",Don't Lean/Independent/None,Male,65-74,"White, non-Hispanic",Post grad study/professional degree,Working - self-employed,"$100,000 to unde",FL,Metro Area,"30,001 to 40,000",very high,Don't know/Unsure,Yes
Not very severe,"10,001 to 25,000","No, they do not contain live coronavirus",Strong Democrat,Female,25-34,"White, non-Hispanic",Bachelors degree,Working - as a paid employee,"$100,000 to unde",MI,Metro Area,"10,001 to 20,000",high,1-2 weeks after 2nd dose,Yes
Not at all severe,"1 to 1,000","No, they do not contain live coronavirus",Not So Strong Democrat,Female,75+,"White, non-Hispanic",HS graduate,Not working - retired,"$40,000 to under",WI,Metro Area,"1 to 10,000",moderate,1-2 weeks after 2nd dose,Yes
Not very severe,"10,001 to 25,000","Yes, they contain live coronavirus",Not So Strong Democrat,Female,35-44,"Asian, non-Hispanic",Bachelors degree,Not working - other,"$150,000 or more",CA,Metro Area,"More than 50,000",very high,1-2 weeks after 1st dose,No
